Data,chuva_dia,chuva_3d,chuva_5d,classe
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-01,0.0,0.0,0.0,0
2024-01-02,0.0,0.0,0.0,0
2024-01-02,0.0,0.0,0.0,0
2024-01-02,0.0,0.0,0.0,0
2024-01-02,0.0,0.0,0.0,0
2024-01-02,15.6,15.6,15.6,0
2024-01-02,0.0,15.6,15.6,0
2024-01-02,0.0,15.6,15.6,0
2024-01-02,0.0,0.0,15.6,0
2024-01-02,0.0,0.0,15.6,0
2024-01-02,0.0,0.0,0.0,0
2024-01-02,0.0,0.0,0.0,0
2024-01-02,5.8,5.8,5.8,0
2024-01-02,0.0,5.8,5.8,0
2024-01-02,0.8,6.6,6.6,0
2024-01-02,0.0,0.8,6.6,0
2024-01-02,2.0,2.8,8.6,0
2024-01-02,14.2,14.2,14.2,0
2024-01-02,0.0,14.2,14.2,0
2024-01-02,3.6,17.8,17.8,0
2024-01-02,0.0,3.6,17.8,0
2024-01-02,0.0,3.6,17.8,0
2024-01-02,5.2,5.2,8.8,0
2024-01-02,0.0,5.2,8.8,0
2024-01-02,0.6,9.6,21.2,0
2024-01-02,0.4,1.0,10.4,0
2024-01-02,0.0,1.0,10.0,0
2024-01-02,0.0,0.4,1.0,0
2024-01-02,1.4,1.4,2.4,0
2024-01-02,0.0,1.4,1.7999999999999998,0
2024-01-02,0.8,2.2,2.2,0
2024-01-02,0.0,0.8,2.2,0
2024-01-02,0.0,0.8,2.2,0
2024-01-02,0.0,0.0,0.8,0
2024-01-03,24.2,24.2,25.0,0
2024-01-03,0.0,24.2,24.2,0
2024-01-03,0.0,24.2,24.2,0
2024-01-03,0.0,0.0,24.2,0
2024-01-03,0.0,0.0,24.2,0
2024-01-03,0.0,0.0,0.0,0
2024-01-03,0.4,0.4,0.4,0
2024-01-03,6.4,6.800000000000001,6.800000000000001,0
2024-01-03,0.6,7.4,7.4,0
2024-01-03,9.2,16.2,16.6,0
2024-01-03,7.6,17.4,24.2,0
2024-01-03,0.8,17.599999999999998,24.6,0
2024-01-03,0.0,8.4,18.2,0
2024-01-03,0.0,0.8,17.599999999999998,0
2024-01-03,9.4,9.4,17.8,0
2024-01-03,0.0,9.4,10.200000000000001,0
2024-01-03,9.0,18.4,18.4,0
2024-01-03,0.6,9.6,19.0,0
2024-01-03,0.0,9.6,19.0,0
2024-01-03,0.4,1.0,10.0,0
2024-01-03,1.4,1.7999999999999998,11.4,0
2024-01-03,2.8,8.399999999999999,40.400000000000006,0
2024-01-03,37.6,40.4,46.00000000000001,0
2024-01-03,32.4,40.8,47.2,0
2024-01-03,0.4,33.199999999999996,41.20000000000001,0
2024-01-03,26.8,59.599999999999994,68.00000000000001,0
2024-01-03,0.2,27.4,60.20000000000001,0
2024-01-03,0.0,27.0,59.80000000000001,0
2024-01-03,1.4,1.5999999999999999,28.800000000000015,0
2024-01-03,16.0,17.4,44.40000000000001,0
2024-01-03,25.2,42.6,42.80000000000001,0
